ticker,cik,name,country
HNVR,0001828588,Hanover Bancorp Inc.,United States
HONE,0001769617,HarborOne Bancorp Inc.,United States
HWBK,0000893847,Hawthorn Bancshares Inc.,United States
HBT,0000775215,HBT Financial Inc.,United States
HTLF,0000920112,Heartland Financial USA Inc.,United States
HTBK,0001053352,Heritage Commerce Corp,United States
HFWA,0001046025,Heritage Financial Corporation,United States
HIFS,0001046025,Hingham Institution for Savings,United States
HBCP,0001436425,Home Bancorp Inc.,United States
HMST,0001518715,HomeStreet Inc.,United States
HOPE,0001128361,Hope Bancorp Inc.,United States
HBNC,0000706129,Horizon Bancorp Inc.,United States
HBAN,0000049196,Huntington Bancshares Incorporated,United States
HVBC,0001594555,HV Bancorp Inc.,United States
INDB,0000776901,Independent Bank Corp.,United States
IBCP,0000039311,Independent Bank Corporation,United States
IBTX,0001564618,Independent Bank Group Inc,United States
IBOC,0000315709,International Bancshares Corporation,United States
ISTR,0001602658,Investar Holding Corporation,United States
JMSB,0001710482,John Marshall Bancorp Inc.,United States
LBAI,0000846901,Lakeland Bancorp Inc.,United States
LKFN,0000721994,Lakeland Financial Corporation,United States
LARK,0001141688,Landmark Bancorp Inc.,United States
LCNB,0001074902,LCNB Corporation,United States
LMST,0001358356,Limestone Bancorp Inc.,United States
LBC,0001475348,Luther Burbank Corporation,United States
MCBC,0001053584,Macatawa Bank Corporation,United States
MGYR,0001337068,Magyar Bancorp Inc.,United States
MNSB,0001693577,MainStreet Bancshares Inc.,United States
MLVF,0001550603,Malvern Bancorp Inc.,United States
MBWM,0001042729,Mercantile Bank Corporation,United States
MBIN,0001629019,Merchants Bancorp,United States
MRBK,0001750735,Meridian Corporation,United States
MCBS,0001747068,MetroCity Bankshares Inc.,United States
MPB,0000879635,Mid Penn Bancorp,United States
MBCN,0000836147,Middlefield Banc Corp.,United States
MSBI,0001466026,Midland States Bancorp Inc.,United States
MSVB,0001734875,Mid-Southern Bancorp Inc.,United States
MOFG,0001412665,MidWestOne Financial Gp,United States
NKSH,0000796534,National Bankshares Inc.,United States
NBTB,0000790359,NBT Bancorp Inc.,United States
NBN,0000790359,Northeast Bank,United States
NFBK,0001493225,Northfield Bancorp Inc.,United States
NWBI,0001471265,Northwest Bancshares Inc.,United States
NWFL,0001013272,Norwood Financial Corp.,United States
NSTS,0001881592,NSTS Bancorp Inc.,United States
OVLY,0001431567,Oak Valley Bancorp,United States
OVBC,0000894671,Ohio Valley Banc Corp.,United States
ONB,0000707179,Old National Bancorp,United States
OPOF,0000740971,Old Point Financial Corporation,United States
OSBC,0000357173,Old Second Bancorp Inc.,United States
OPBK,0001722010,OP Bancorp,United States
OPHC,0001288855,OptimumBank Holdings Inc.,United States
OBT,0001754226,Orange County Bancorp Inc.,United States
OBNK,0001516912,Origin Bancorp Inc.,United States
ORRF,0000826154,Orrstown Financial Services Inc,United States
PPBI,0001028918,Pacific Premier Bancorp Inc,United States
PACW,0001102112,PacWest Bancorp,United States
PKBK,0001315399,Parke Bancorp Inc.,United States
PTRS,0000832090,Partners Bancorp,United States
PBHC,0001609065,Pathfinder Bancorp Inc.,United States
CASH,0000907471,Pathward Financial Inc.,United States
PNBK,0001098146,Patriot National Bancorp Inc.,United States
PBBK,0001849670,PB Bankshares Inc.,United States
PCB,0001423869,PCB Bancorp,United States
PGC,0001050743,Peapack-Gladstone Financial Corporation,United States
PWOD,0000716605,Penns Woods Bancorp Inc.,United States
PEBO,0000318300,Peoples Bancorp Inc.,United States
PEBK,0001093672,Peoples Bancorp of North Carolina Inc.,United States
PFIS,0001056943,Peoples Financial Services Corp.,United States
PNFP,0001115055,Pinnacle Financial Partners Inc.,United States
PBFS,0001769663,Pioneer Bancorp Inc.,United States
BPOP,0000763901,Popular Inc.,United States
PFBC,0001492165,Preferred Bank,United States
FRST,0001325670,Primis Financial Corp.,United States
BPRN,0001913971,Princeton Bancorp Inc.,United States
PVBC,0001778784,Provident Bancorp Inc.,United States
QCRH,0000906465,QCR Holdings Inc.,United States
RBB,0001499422,RBB Bancorp,United States
RRBI,0001071236,Red River Bancshares Inc.,United States
RNST,0000715072,Renasant Corporation,United States
RBCAA,0000921557,Republic Bancorp Inc.,United States
FRBK,0000834285,Republic First Bancorp Inc.,United States
RBKB,0001751783,Rhinebeck Bancorp Inc.,United States
RVSB,0001041368,Riverview Bancorp Inc,United States
STBA,0000719220,S&T Bancorp Inc.,United States
SASR,0000824410,Sandy Spring Bancorp Inc.,United States
SBFG,0000767405,SB Financial Group Inc.,United States
SBCF,0000730708,Seacoast Banking Corporation of Florida,United States
SHFS,0001854963,SHF Holdings Inc.,United States
SHBI,0001035092,Shore Bancshares Inc,United States
BSRR,0001130144,Sierra Bancorp,United States
SBNY,0001288784,"Signature Bank **(Failed - Shutdown on Mar 12, 2023)**",United States
